id,doi,title,authorString,authorAffiliations,journalTitle,pubYear,date,isOpenAccess,keywords,nationalPriorities,healthCategories,abstract,laySummary,urls
PPR1092107,https://doi.org/10.21203/rs.3.rs-7676837/v1,Genome-wide association studies of Long COVID and post-acute complications of SARS-CoV-2 in the UK Biobank Data,"Prieto-Alhambra D, Alcalde-Herraiz M, López-Güell K, Iqbal S, Wallin J, Liu Y, Xie J.",,No Journal Info,2025,2025-09-26,Y,,,,"<title>Abstract</title>  <p>The genetic foundations of post-COVID-19 conditions remains unclear. We performed two genome-wide association studies (GWAS) in UK Biobank COVID-19 positive individuals to identify the genetic variants associated with Long COVID (LC) and post-acute cardiovascular complications of SARS-CoV-2 (PACS-CVD). The LC cohort comprised 8,469 participants (68% cases). The PACS-CVD cohort included 105,175 individuals (2% cases). LC GWAS identified 15 independent signals at suggestive significance (p-value<5×10⁻⁶), with 73.3% validated. The fully validated variant, rs12335232 (ADCY8), has been linked to memory decline, COVID-19 infection and severity. Other loci were near CHRNA7 (neuroinflammation, COVID-19 severity) and RNU7-126P (COVID-19 hospitalization). These findings consistently demonstrate shared biological pathways between acute infection and persistent symptoms. PACS-CVD GWAS identified 14 suggestive loci, mainly near genes linked to cardiovascular and metabolic functions (SAYSD1/KCNK5, FLT1) or COVID-19 severity (ROR2). These results enhance the genetic understanding of Long COVID and PACS-CVD pathophysiology and highlight several potential therapeutic targets for both conditions.</p>",,doi:https://doi.org/10.21203/rs.3.rs-7676837/v1; html:https://europepmc.org/article/PPR/PPR1092107; pdf:https://europepmc.org/api/fulltextRepo?pprId=PPR1092107&type=FILE&fileName=EMS209250-pdf.pdf&mimeType=application/pdf
PPR1094515,https://doi.org/10.21203/rs.3.rs-7702834/v1,Tocilizumab versus sarilumab among adults hospitalised with COVID-19: target trial emulation across England and Scotland,"Tomlinson L, Zheng B, Kurdi A, Amstutz A, Green A, Herrett E, Tazare J, Wen Q, Mahalingasivam V, Smith R, MacKenna B, Mehrkar A, Bacon S, Goldacre B, Robertson C, Sheikh A.",,No Journal Info,2025,2025-10-01,Y,,,,"<title>Abstract</title>  <p>The interleukin-6 (IL-6) inhibitors tocilizumab and sarilumab have been repurposed for COVID-19 treatment. However, discrepancies still exist across global and national COVID-19 guidelines, with limited data on the comparative effectiveness between these therapeutics especially during the delta/omicron periods. With the approval of NHS England and Public Health Scotland, we compared their effectiveness among adults hospitalised with COVID-19 using electronic health records data through the OpenSAFELY-TPP (England) and EAVE II (Scotland) platforms. Following the target trial emulation framework, 10,487 patients treated between July 2021 and February 2022, when both drugs were frequently prescribed, were included. In England, 1150 (20.1%) of 5710 participants receiving tocilizumab died by day 28 compared with 820 (20.4%) of 4025 participants receiving sarilumab (adjusted hazard ratio [aHR] 1.07, 95% CI 0.96–1.19). In Scotland, 114 (29.4%) of 388 participants receiving tocilizumab died by day 28 compared with 97 (27.0%) of 359 participants receiving sarilumab (aHR 0.92, 95% CI 0.68–1.23). There was no evidence of a difference in time to hospital discharge between the groups, and no credible effect modification by variant of concern, vaccination status, age, sex, ethnicity, body mass index, or comorbidities. Our findings provide supportive evidence for both drugs as alternative therapeutic options in COVID-19 in-patient management.</p>",,doi:https://doi.org/10.21203/rs.3.rs-7702834/v1; html:https://europepmc.org/article/PPR/PPR1094515; pdf:https://europepmc.org/api/fulltextRepo?pprId=PPR1094515&type=FILE&fileName=EMS209428-pdf.pdf&mimeType=application/pdf
PPR1077612,https://doi.org/10.1101/2025.08.29.25334732,"Long-term follow-up of treatment comparisons in RECOVERY: a randomised, open-label, platform trial for patients hospitalised with COVID-19","Horby PW, Peto L, Campbell M, Wade R, Pessoa-Amorim G, Tobert V, Staplin N, Emberson JR, Wallendszus K, Stevens WM, King A, Kurien R, Crichton C, Brightling C, Prudon B, Green CA, Thackoorcharan S, Hine P, Felton T, Stewart R, Kunst H, Ustianowski A, Baillie JK, Buch MH, Faust SN, Jaki T, Jeffery K, Juszczak E, Knight M, Lim WS, Montgomery A, Mukherjee A, Mumford A, Rowan K, Thwaites G, Mafham M, Haynes R, Landray MJ, RECOVERY Collaborative Group.",,No Journal Info,2025,2025-09-02,Y,,,,"<h4>SUMMARY</h4>  <h4>Background</h4>  The Randomised Evaluation of COVID-19 Therapy (RECOVERY) trial evaluated the effects of sixteen potential treatments for patients hospitalised with COVID-19. Dexamethasone (at a dose of 6mg daily), tocilizumab, baricitinib, and the monoclonal antibodies casirivimab-imdevimab and sotrovimab were shown to reduce 28-day mortality in all or specific groups of patients. Here we report the long-term efficacy and safety of all sixteen therapies. <h4>Methods</h4>  Patients hospitalised with COVID-19 were potentially eligible to join this randomised, controlled, open-label, platform trial. Participants were randomly allocated to receive each trial treatment, or not, on top of usual care. Analyses were by intention to treat comparing each treatment with its own usual care control group. The pre-specified primary long-term follow-up outcome was 6-month all-cause mortality, presented as mortality rate ratios adjusted for baseline age and ventilation status. The key safety outcomes were major non-COVID infection and non-COVID death at 6 months. ISRCTN50189673 and NCT04381936 . <h4>Findings</h4>  Between 19 March 2020 and 19 March 2024, 48,402 patients were included in RECOVERY COVID-19 treatment comparisons. For each of the treatments previously demonstrated to be effective at 28 days, the early mortality benefit was preserved up to 6 months. Among 6425 patients in the dexamethasone (6mg daily) comparison, 6-month mortality was 34.3% vs 44.4% in the invasive mechanical ventilation group (rate ratio [RR] 0.68; 95% confidence interval [CI] 0.55–0.85; p=0.0006); 27.7% vs 29.2% in the oxygen or non-invasive ventilation group (RR 0.87; 95% CI 0.77–0.99; p=0.034); and 26.1% vs 22.5% in the no oxygen group (RR 1.10; 95% CI 0.89–1.36; p=0.39); test for trend p=0.0024. Among 4116 patients in the tocilizumab comparison, 34.3% vs 38.9% died within 6 months (RR 0.87; 95% CI 0.79–0.96; p=0.0077). Among 8156 patients in the baricitinib comparison, 15.7% vs. 16.6% died (RR 0.89; 95% CI 0.80–0.99; p=0.032). Among 3153 anti-SARS-CoV-2 serum antibody negative patients (the primary analysis population) in the casirivimab-imdevimab comparison, 29.3% vs. 34.7% died (RR 0.87; 95% CI 0.77–0.98; p=0.024). Among 720 patients with high serum nucleocapsid antigen concentration (the primary analysis population) in the sotrovimab comparison, 33.0% vs. 38.6% died (RR 0.78; 95% CI 0.61–1.00; p=0.050). In line with the 28-day results, aspirin, azithromycin, colchicine, convalescent plasma, dimethyl fumarate, empagliflozin, lopinavir-ritonavir, molnupiravir, and nirmatrelvir-ritonavir did not reduce 6-month mortality. Mortality at 6 months was higher with hydroxychloroquine therapy (33.3% vs. 30.2%; RR 1.14; 95% CI 1.02–1.27; p=0.018) and, among hypoxic patients not requiring ventilatory support, with higher dose dexamethasone (initial dose 20mg daily, 22.0% vs. 17.6%, RR 1.34; 95% CI 1.04–1.72; p=0.021). Allocation to dexamethasone 6mg once daily resulted in a small increase in major non-COVID infection within 6 months compared with usual care (21.4% vs. 19.1%; absolute difference 2.2%; 95% CI 0.2–4.5%). We found no evidence that any other treatments increased the risk of major non-COVID infection. <h4>Interpretation</h4>  In patients hospitalised with COVID-19, dexamethasone (at a dose of 6mg daily in hypoxic patients), tocilizumab (in hypoxic patients with CRP ≥75 mg/L), baricitinib, casirivimab-imdevimab (in seronegative patients), and sotrovimab (in high antigen patients) reduced 6-month mortality. Dexamethasone at a dose of 6mg daily was associated with an increase in major non-COVID infection but there was no evidence of other later emerging harms. Other treatments tested in RECOVERY did not reduce 6-month mortality. <h4>Funding</h4>  UK Research and Innovation (Medical Research Council) and National Institute for Health and Care Research (Grant ref: MC_PC_19056), and Wellcome Trust (Grant Ref: 222406/Z/20/Z).",,doi:https://doi.org/10.1101/2025.08.29.25334732; html:https://europepmc.org/article/PPR/PPR1077612; pdf:https://europepmc.org/api/fulltextRepo?pprId=PPR1077612&type=FILE&fileName=EMS208523-pdf.pdf&mimeType=application/pdf
PPR1094798,https://doi.org/10.1101/2025.10.02.679983,Fatal consequences of feline coronavirus infection are associated with virus persistence and a distinct adaptive immune repertoire,"Hiron TK, Falcone S, The MASCOT Consortium, Kipar A, Hezzell MJ, O’Callaghan CA, Barker EN, Davison LJ.",,No Journal Info,2025,2025-10-03,Y,,,,"The pathogenesis of feline infectious peritonitis (FIP), arising in a minority of cats infected with feline coronavirus (FCoV), is complex and incompletely understood. Without extended use of direct-acting antivirals FIP is invariably fatal, but there is potential for the emergence of anti-viral resistance. To understand host and viral factors associated with FIP, multiple tissues from cats with and without FIP were subjected to RNA sequencing (RNA-seq), and targeted sequencing of the T cell receptor (TCR) repertoire was conducted for mesenteric lymph nodes in a larger cohort. Samples from cats with FIP demonstrated higher expression of genes involved in type I interferon and proinflammatory cytokine signalling, as well as the adaptive immune response, and expression of these genes was highly correlated with FCoV abundance. Analysis of FCoV genomic variation across tissues revealed dynamic within-host evolution of FCoV, and identified distinct mutations associated with systemic virus spread both within and among cats. Assembly of TCR and B-cell receptor (BCR) sequences identified changes in the immune repertoire associated with FIP, highlighting the polyclonality and ineffectiveness of the immune response to FCoV in cats with FIP, and revealing the presence of potentially protective TCR clonotypes in cats without FIP. Together, these results represent the first analysis of immune repertoire in any feline infectious disease and demonstrate naturally occurring within-host evolution of FCoV. These novel insights into a life-threatening systemic coronaviral disease have the potential to transform therapeutic approaches in FIP.",,doi:https://doi.org/10.1101/2025.10.02.679983; html:https://europepmc.org/article/PPR/PPR1094798; pdf:https://europepmc.org/api/fulltextRepo?pprId=PPR1094798&type=FILE&fileName=EMS209443-pdf.pdf&mimeType=application/pdf
PPR970936,https://doi.org/10.1101/2025.01.24.25321081,"Sotrovimab versus usual care in patients admitted to hospital with COVID-19: a randomised, controlled, open-label, platform trial (RECOVERY)","Horby PW, Emberson JR, Peto L, Staplin N, Campbell M, Pessoa-Amorim G, Stewart R, Ghosh D, Cooke G, Blencowe N, Moreno-Cuesta J, Desai P, Hine P, Underwood J, Easom N, Majumdar J, Bhagani S, Baillie JK, Buch MH, Faust SN, Jaki T, Jeffery K, Juszczak E, Knight M, Lim WS, Montgomery A, Mukherjee A, Mumford A, Rowan K, Thwaites G, Mafham M, Haynes R, Landray MJ, Group RECOVERY Collaborative.",,No Journal Info,2025,2025-01-27,Y,,,,"<h4>SUMMARY</h4> <h4>Background</h4> Sotrovimab is a neutralising monoclonal antibody that has been proposed as a treatment for patients admitted to hospital with COVID-19. <h4>Methods</h4> In this randomised, controlled, open-label platform trial, several possible treatments were compared with usual care in patients hospitalised with COVID-19 pneumonia. In the sotrovimab comparison, eligible and consenting patients were randomly allocated to either usual care alone or usual care plus a single 1g dose of sotrovimab, using web-based unstratified randomisation. Participants were retrospectively categorised according to their baseline serum SARS-CoV-2 nucleocapsid antigen concentration as ‘high-antigen’ or ‘low-antigen’, using the median concentration as a cut-off. The primary outcome was 28-day mortality assessed by intention to treat. Secondary outcomes were time to discharge alive from hospital, and, among those not on invasive ventilation at baseline, progression to invasive ventilation or death. Recruitment closed on 31 March 2024 when funding ended. ISRCTN (50189673) and clinicaltrials.gov ( NCT04381936 ). <h4>Findings</h4> From 4 January 2022 to 19 March 2024, 1723 patients were recruited to the sotrovimab comparison. 720 (42%) were classified as high-antigen, 717 (42%) as low-antigen, and 286 (17%) had unknown antigen status. Over 80% of patients were vaccinated, over 80% had anti-spike antibodies at randomisation, and almost all were infected with Omicron variants. In the prespecified primary efficacy population of high-antigen patients, 82/355 (23%) allocated sotrovimab versus 106/365 (29%) allocated usual care died within 28 days (rate ratio 0.75; 95% CI 0.56-0.99; p=0.046). In an analysis of all randomised patients (regardless of antigen status), 177/828 (21%) allocated sotrovimab versus 201/895 (22%) allocated usual care died within 28 days (rate ratio 0.95; 95% CI 0.77-1.16; p=0.60). <h4>Interpretation</h4> In patients hospitalised with COVID-19, sotrovimab was associated with reduced mortality in the primary analysis population of patients with a high serum SARS-CoV-2 antigen concentration at baseline, but not in the overall population. <h4>Funding</h4> UK Research and Innovation (Medical Research Council) and National Institute of Health Research (Grant ref: MC_PC_19056).",,doi:https://doi.org/10.1101/2025.01.24.25321081; doi:https://doi.org/10.1101/2025.01.24.25321081; html:https://europepmc.org/article/PPR/PPR970936; pdf:https://europepmc.org/api/fulltextRepo?pprId=PPR970936&type=FILE&fileName=EMS202944-pdf.pdf&mimeType=application/pdf
PPR773039,https://doi.org/10.1101/2023.12.11.23299191,Ursodeoxycholic acid and severe COVID-19 outcomes in people with liver disease: a cohort study using the OpenSAFELY platform,"Costello RE, Jean Waller KM, Smith R, Mells GF, Wong AY, Schultze A, Mahalingasivam V, Herrett E, Zheng B, Lin L, Mehrkar A, Bacon SC, Goldacre B, Tomlinson LA, Tazare J, Rentsch CT, the OpenSAFELY collaborative and the LH&W NCS (or CONVALESCENCE) Collaborative.",,No Journal Info,2023,2023-12-13,Y,,,,"Biological evidence suggests ursodeoxycholic acid (UDCA) - a common treatment of cholestatic liver disease - may prevent severe COVID-19 outcomes. With the approval of NHS England, we conducted a population-based cohort study using primary care records, linked to death registration data and hospital records through the OpenSAFELY-TPP platform. We estimated the hazard of COVID-19 hospitalisation or death between 1 March 2020 and 31 December 2022, comparing UDCA treatment to no UDCA treatment in a population with indication. Of 11,320 eligible individuals, 642 were hospitalised or died with COVID-19 during follow-up, 402 (63%) events among UDCA users. After confounder adjustment, UDCA was associated with a 21% (95% CI 7%-33%) relative reduction in the hazard of COVID-19 hospitalisation or death, consistent with an absolute risk reduction of 1.3% (95% CI 1.0%-1.6%). Our findings support calls for clinical trials investigating UDCA as a preventative measure for severe COVID-19 outcomes.",,pdf:https://www.medrxiv.org/content/medrxiv/early/2023/12/13/2023.12.11.23299191.full.pdf; doi:https://doi.org/10.1101/2023.12.11.23299191; html:https://europepmc.org/article/PPR/PPR773039; pdf:https://europepmc.org/api/fulltextRepo?pprId=PPR773039&type=FILE&fileName=EMS192777-pdf.pdf&mimeType=application/pdf
PPR891040,https://doi.org/10.21203/rs.3.rs-4745608/v1,Are ethnic disparities in COVID-19 severe outcomes over? Analysis of 5.3 million individuals in England and Wales from 2020-2022,"Khalid S, Pineda-Moncusí M, Allery F, Abbasizanjani H, Powell D, Prats-Uribe A, Thygesen J, Tomlinson C, Banerjee A, Akbari A, Coates L, Denaxas S, Khunti K, Collins G, Prieto-Alhambra D.",,No Journal Info,2024,2024-08-05,Y,,,,"<title>Abstract</title>  <p>To study ethnic disparities in risk of severe COVID-19 outcomes, we estimated age-standardised incidence rates and adjusted hazard ratios for 28-day mortality and 30-day cardiovascular disease (CVD) for individual ethnic groups from England and Wales. We studied 6-census-based ethnicity groups classification, 10-level classification (only for Wales), and 19-level classification along with additional sub-groups comprising > 1000 individuals each (only for England). COVID-19 mortality and CVD risk was increased in most non-White ethnic groups in England and Asian population in Wales during the 2.5 years after the pandemic outbreak. English data show mortality decreased during the Omicron variant's dominance, whilst CVD risk remained elevated for certain ethnic groups when compared to White populations (men: 58% Pakistani, 120% White and Asian, and 17% Any other White background; women: 75% Bangladeshi, 55% Caribbean, and 82% Any Other Ethnic Group). Ethnically diverse populations remained disproportionately affected by CVD throughout and beyond the COVID-19 pandemic.</p>",,doi:https://doi.org/10.21203/rs.3.rs-4745608/v1; doi:https://doi.org/10.21203/rs.3.rs-4745608/v1; html:https://europepmc.org/article/PPR/PPR891040; pdf:https://europepmc.org/api/fulltextRepo?pprId=PPR891040&type=FILE&fileName=EMS201054-pdf.pdf&mimeType=application/pdf
PPR649456,https://doi.org/10.1101/2023.04.24.23289043,LONG-TERM PHYSICAL AND MENTAL HEALTH IMPACT OF COVID-19 ON ADULTS IN ENGLAND: FOLLOW UP OF A LARGE RANDOM COMMUNITY SAMPLE,"Atchison CJ, Davies B, Cooper E, Lound A, Whitaker M, Hampshire A, Azor A, Donnelly C, Chadeau-Hyam M, Cooke GS, Ward H, Elliott P.",,No Journal Info,2023,2023-04-24,Y,,,,"<h4>ABSTRACT</h4> <h4>Background</h4> The COVID-19 pandemic is having a lasting impact on health and well-being. We compare current self-reported health, quality of life and symptom profiles for people with ongoing symptoms following COVID-19 to those who have never had COVID-19 or have recovered. <h4>Methods</h4> A cohort study was established with participants from the REACT programme. A sample (N=800,000) of adults were contacted between August and December 2022 to complete a questionnaire about their current health and COVID-19 history. We used logistic regression to identify predictors of persistent symptoms lasting ≥12 weeks following COVID-19. We fitted Accelerated Failure Time models to assess factors associated with rate of recovery from persistent symptoms. <h4>Findings</h4> Overall, 276,840/800,000 (34.6%) of invited participants completed the questionnaire. Median duration of COVID-related symptoms (N=130,251) was 1.3 weeks (inter-quartile range 6 days to 2 weeks), with 7.5% and 5.2% reporting ongoing symptoms ≥12 weeks and ≥52 weeks respectively. Female sex, having ≥1 comorbidity, more severe symptoms at time of COVID-19 and being infected when Wild-type variant was dominant were associated with higher probability of symptoms lasting ≥12 weeks. Longer time to recovery in those with persistent symptoms was found for females, people with comorbidities, living in more deprived areas, current smokers and for Wild-type compared to later variants. Mental health and health-related quality of life were significantly worse among participants with ongoing persistent COVID-19 symptoms compared with those who had never had COVID-19 or had recovered. <h4>Interpretation</h4> Although COVID-19 is usually of short duration, some adults experience persistent and burdensome illness. <h4>Funding</h4> This work is independent research funded by the National Institute for Health and Care Research (NIHR) (REACT Long COVID (REACT-LC) (COV-LT-0040)). This research is part of the Data and Connectivity National Core Study, led by Health Data Research UK in partnership with the Office for National Statistics and funded by UK Research and Innovation (UKRI) (MC_PC_20029). The views expressed in this publication are those of the author(s) and not necessarily those of NIHR or UKRI.",,pdf:https://www.medrxiv.org/content/medrxiv/early/2023/04/24/2023.04.24.23289043.full.pdf; doi:https://doi.org/10.1101/2023.04.24.23289043; html:https://europepmc.org/article/PPR/PPR649456; pdf:https://europepmc.org/api/fulltextRepo?pprId=PPR649456&type=FILE&fileName=EMS174678-pdf.pdf&mimeType=application/pdf
PPR796847,https://doi.org/10.21203/rs.3.rs-3891128/v1,Lower Humoral and Cellular Immunity following Asymptomatic SARS-CoV-2 Infection in Education (The ACE Cohort),"Hopkins G, Gomez N, Tucis D, Bartlett L, Steers G, Burns E, Brown M, Harvey-Cowlishaw T, Santos R, Lauder SN, Scurr M, Capitani L, Burnell S, Rees T, Smart K, Somerville M, Gallimore A, Perera M, Potts M, Metaxaki M, Krishna B, Jackson H, Tighe P, Onion D, Godkin A, Wills M, Fairclough L.",,No Journal Info,2024,2024-01-31,Y,,,,"<h4>Purpose: </h4> Asymptomatic SARS-CoV-2 infections were widely reported during the COVID-19 pandemic, acting as a hidden source of infection. Many existing studies investigating asymptomatic immunity failed to recruit true asymptomatic individuals. Thus, we conducted a cohort study to evaluate humoral- and cell-mediated responses to infection and vaccination in well-defined asymptomatic young adults (the Asymptomatic COVID-19 in Education [ACE] cohort). Methods  Asymptomatic testing services located at three UK universities identified asymptomatic young adults who were subsequently recruited with age- and sex-matched symptomatic and uninfected controls. Blood and saliva samples were collected after SARS-CoV-2 Wuhan infection, and again after vaccination. Anti-spike antibody titres, neutralizing antibodies, and spike-specific T-cell responses were measured, against both Wuhan and Omicron variants. Results  Asymptomatic participants exhibited reduced Wuhan-specific neutralization antibodies pre- and post-vaccination, as well as fewer Omicron-specific neutralization antibodies post-vaccination, compared to symptomatic participants. Lower Wuhan and Omicron-specific IgG titres in asymptomatic individuals were also observed pre- and post-vaccination, compared to symptomatic participants. There were no differences in salivary IgA levels. Conventional flow cytometry analysis and multi-dimensional clustering analysis of indicated unvaccinated asymptomatic participants had significantly fewer Wuhan-specific IL-2 secreting CD4 + CD45RA + T cells and activated CD8 + T cells than symptomatic participants, though these differences dissipated after vaccination. Conclusions  Asymptomatic infection results in decreased antibody and T cell responses to further exposure to SARS-CoV-2 variants, compared to symptomatic infection. Post-vaccination, antibody responses are still inferior, but T cell immunity increases to match symptomatic subjects, emphasising the importance of vaccination to help protect asymptomatic individuals against future variants.",,pdf:https://www.researchsquare.com/article/rs-3891128/latest.pdf; doi:https://doi.org/10.21203/rs.3.rs-3891128/v1; html:https://europepmc.org/article/PPR/PPR796847; pdf:https://europepmc.org/api/fulltextRepo?pprId=PPR796847&type=FILE&fileName=EMS193790-pdf.pdf&mimeType=application/pdf
PPR1124138,https://doi.org/10.1101/2025.11.21.25340556,"Mental disorders, receipt of acute cardiac care following myocardial infarction and the impact of the COVID-19 pandemic: a cohort study","Fleetwood K, Nolan J, Berry C, Cavers D, Mercer SW, Padmanabhan S, Smith DJ, Stewart R, Vettini A, Jackson CA.",,No Journal Info,2025,2025-11-22,Y,,,,"<h4>Background and Aims</h4>  People with a mental disorder have poorer myocardial infarction (MI) outcomes, with differences in cardiac care thought to be partly responsible. We compared receipt of guideline-informed acute MI care by mental disorder and assessed how the COVID-19 pandemic affected associations. <h4>Methods</h4>  We identified people with MI in England (November 2019 - February 2023) from the Myocardial Ischaemia National Audit Project (MINAP), ascertaining prior mental disorder from linked hospitalisation and primary care records and extracting care standards from MINAP. We used logistic regression to compare care standards for ST-elevation MI (STEMI) and non-STEMI (NSTEMI) between people with each of schizophrenia, bipolar disorder or depression versus those without any of these disorders, adjusting for confounders and investigating differences over time. <h4>Results</h4>  We included 131,075 NSTEMI and 79,045 STEMI cases. For NSTEMI, people with prior mental disorder had lower odds of angiography eligibility and receipt, cardiac ward admission and cardiac rehabilitation referral. Odds ratios (95% CIs) ranged from 0.25 (0.20, 0.31) for angiography receipt for schizophrenia to 0.92 (0.89, 0.96) for cardiac ward admission for depression. For STEMI, there was no evidence of care differences for depression; however, people with bipolar disorder were less likely to meet call-to-balloon targets and people with schizophrenia were less likely to be referred for cardiac rehabilitation and receive indicated secondary prevention medication. Disparities were generally unaffected by the COVID-19 pandemic. <h4>Conclusions</h4>  People with a mental disorder are less likely to receive guideline-informed MI care, with variation by MI type, care standard and mental disorder. <h4>Summary</h4>  We used linked electronic health records from over 200 000 NSTEMI and STEMI patients in England to compare receipt of guideline-informed care for myocardial infarction by mental disorder status and assess how the COVID-19 pandemic affected associations. We identified disparities in a range of care standards for both NSTEMI and STEMI, which were greatest for people with schizophrenia, but also evident for bipolar disorder and depression. Disparities were generally unaffected by the COVID-19 pandemic.",,doi:https://doi.org/10.1101/2025.11.21.25340556; html:https://europepmc.org/article/PPR/PPR1124138; pdf:https://europepmc.org/api/fulltextRepo?pprId=PPR1124138&type=FILE&fileName=EMS211079-pdf.pdf&mimeType=application/pdf
