biochemistry,bioinformatics,molecular biology,cardiovascular medicine,orthopedics,health economics,health systems and quality improvement,pathology,neurology,biophysics,epidemiology,microbiology,public and global health,oncology,primary care research,month,immunology,infectious diseases,occupational and environmental health,pharmacology and therapeutics,dermatology,evolutionary biology,dentistry and oral medicine,genetic and genomic medicine,emergency medicine,obstetrics and gynecology,scientific communication and education,ophthalmology,genomics,pediatrics,health informatics,allergy and immunology,surgery,respiratory medicine,intensive care and critical care medicine,systems biology,Total,health policy,hiv aids,radiology and imaging,geriatric medicine,psychiatry and clinical psychology
,,,,,,,,,,,,,,1,Mar-24,,,,,,,,,,,,,,,,,,,,,1,,,,,
,,,,,,,,,,1,,2,,,Feb-24,,1,,,,,,,,,,,,,,,,,,,4,,,,,
,,,,,,,,,,,,2,,,Jan-24,,,1,,,,,,,,,,,,,,,,,,3,,,,,
,,,1,,2,,,1,,4,,1,,,Dec-23,,,1,,,,,,,,,,,,,,,,,,10,,,,,
,,,,,,,,,,2,,,,,Nov-23,,1,,,,,,,,,,,,,,,,,,,3,,,,,
,,,,,,,,,,1,,,,,Oct-23,1,1,,,,,,,,,,,,,1,,,1,,,5,,,,,
,,,,,,,,,,,,,,,Sep-23,,1,,,,,,,,,,,,,,,,,,,1,,,,,
,,,,,,,,,,4,,1,,1,Aug-23,,,1,,,,,,,,,,,,,,,,,,7,,,,,
,,,,,,2,,,,3,,1,,,Jul-23,,,,,,,,1,,,,,,,,,,,,,7,,,,,
,,,,1,,,,,,1,,,,,Jun-23,,2,1,,,,,,,,1,,,,1,,,,,,7,,,,,
,,,,,,,,,,2,,1,,,May-23,1,1,,,,,,,,,,,,,,,,1,,,6,,,,,
,,,,,,,,,,,,2,,,Apr-23,,1,,,,,,,,,,,,,,,,,,,3,,,,,
,,,,,,,,,,2,,2,,,Mar-23,,3,1,,,,,,,,,,,,,,,,,,9,,,,,1
,,,,,,,,1,,4,,2,,,Feb-23,,,,,,,,,,,,,,,,,,1,,,8,,,,,
,,,,,,,,,,5,,,,,Jan-23,,1,,,,,,,,,,,,,,,,,,,6,,,,,
,,,,,,,1,,,3,,1,,,Dec-22,,4,,,,,,,,,,,,,,,,2,,,12,1,,,,
,,,,,,,,,,,,,,,Nov-22,,4,,,,,,,,,,,,,,,,,,,4,,,,,
,,,1,,,,,,,1,,2,,,Oct-22,,2,,,,,,,,,,,,,,,,,,,6,,,,,
,,,,,,,,,,1,1,1,,,Sep-22,,2,2,,,,,,,,,,,1,,,,1,,,9,,,,,
,,,,,,,,,,4,,3,,,Aug-22,,3,,,,,,,,,,,,,,,,,,,10,,,,,
,,,,,,,,,,2,,,,,Jul-22,1,3,,,,,,,,,,,,1,1,,,,,,8,,,,,
,,,,,,,,,,6,,1,,,Jun-22,,4,,,,,,1,,,,,,,1,,,,,,18,,,,,5
,,,,,1,1,,,,1,1,1,,,May-22,,5,,,,,,,,,,,,,,,,,,,12,,,,,2
,,,1,,1,2,,,,5,1,1,,,Apr-22,,3,1,,,,,,,,,,,,,,,1,,,16,,,,,
,,,,,,,,,,8,,,,1,Mar-22,,5,,,,1,,,,,,,,,,,,1,,,17,,,,,1
,,,,,,,,1,,6,,1,,,Feb-22,,4,,,,,,,,,,,,,,,,,,,12,,,,,
,,,1,,,,,,,4,,1,,,Jan-22,1,3,1,,,,,,,,,,,,2,,,,,,13,,,,,
,,,1,,,,,1,,10,1,1,,1,Dec-21,,8,,,,,,,,,,,,1,,,,,,,24,,,,,
,,,,,,2,,1,1,9,,2,,1,Nov-21,,5,,,,,,,,,,,1,,,,,,1,,24,,,,,1
,,,,,,,,,,4,,,,,Oct-21,,3,,,,,,,,,,,,1,,,,,,,11,,,,1,2
,,,1,,,,,,,6,,2,,,Sep-21,,5,,1,,,,,,,,,,,1,,,,1,,17,,,,,
,,,1,,,,,,,2,,3,,,Aug-21,,3,1,,,,,,,,,,,,1,,,1,1,,13,,,,,
,,,,,,,,,,3,,4,1,,Jul-21,,11,,,,,,1,1,,,,,1,,,,2,1,,25,,,,,
,,,,,,1,,1,,7,,4,,1,Jun-21,1,7,1,,,,,,,,,,,1,1,1,,,1,,28,,,,,1
,,,,,,,,,,9,,1,,,May-21,,8,,,1,,,1,,,,,,,1,,,,,,22,,,,,1
,,,,,,1,,,,4,1,1,,1,Apr-21,,7,2,,,,,,,,,,,,1,1,,,,,20,,,,,1
1,,,,,,,,1,,6,,5,,,Mar-21,,14,,,,,,1,,,,,,1,2,,1,,,,36,,,1,2,1
,,,1,,1,1,,,,9,,1,,,Feb-21,,9,,,,,,,,,,,,,1,,1,,,,24,,,,,
,,,,,,1,,,,4,,3,,1,Jan-21,1,8,,,,,1,,,,,,,,,,,,1,,23,1,,,1,1
,,,1,,,1,,,,4,1,3,,1,Dec-20,,3,,,,,,,,,,,2,,3,,,,,,21,,,,,2
,1,,,,,,,,,6,,5,,,Nov-20,1,13,,,,,,,,,,,,,1,,,,,,28,1,,,,
,1,,,,,,,,,6,,,1,1,Oct-20,1,12,,,,,,,,,,,,,1,,,,1,1,30,1,,,1,3
,,,,,,,,,,6,1,3,,1,Sep-20,,7,,,,,,,3,,,,,,1,,,,1,,26,,1,,,2
,,1,,,,1,,,,6,,1,,,Aug-20,,12,1,,,,,1,2,1,,,,,,,,,,,26,,,,,
,,,1,,,,,,,10,,4,,,Jul-20,1,7,,,,,,,,,,,1,,,,,1,1,,27,,,,,1
,1,,1,,,1,,,,7,,3,1,,Jun-20,1,10,,,,,,,,,,1,,,1,,,1,3,,37,1,,,1,4
,1,,2,,1,,,,,8,,9,1,,May-20,,10,1,,,,,,,,,,,,1,,,1,1,,37,,,,1,
,,,,,,1,,,,7,,1,,,Apr-20,,7,,,,,,2,,,,,,,,,,,,,18,,,,,
,,,,,,,,,,4,,3,,,Mar-20,,1,,,,,,,,,,,,,,,,,,,8,,,,,
,,,,,,,,,,4,,2,,,Feb-20,,1,,,,,,,,,,,,,,,,,,,7,,,,,
