id,doi,originalTitle,title,authorString,authorAffiliations,journalTitle,pubYear,isOpenAccess,keywords,nationalPriorities,healthCategories,abstract,urls
32249120,https://doi.org/10.1016/j.schres.2020.03.044,"Area deprivation, urbanicity, severe mental illness and social drift – A population-based linkage study using routinely collected primary and secondary care data","Area deprivation, urbanicity, severe mental illness and social drift - A population-based linkage study using routinely collected primary and secondary care data.","Lee SC, DelPozo-Banos M, Lloyd K, Jones I, Walters JTR, Owen MJ, O'Donovan M, John A.",,Schizophrenia research,2020,N,Schizophrenia; Bipolar disorder; Deprivation; Severe Mental Illness; Urbanicity; Social Drift,Improving Public Health,mental health,"We investigated whether associations between area deprivation, urbanicity and elevated risk of severe mental illnesses (SMIs, including schizophrenia and bipolar disorder) is accounted for by social drift or social causation. We extracted primary and secondary care electronic health records from 2004 to 2015 from a population of 3.9 million. We identified prevalent and incident individuals with SMIs and their level of deprivation and urbanicity using the Welsh Index of Multiple Deprivation (WIMD) and urban/rural indicator. The presence of social drift was determined by whether odds ratios (ORs) from logistic regression is greater than the incidence rate ratios (IRRs) from Poisson regression. Additionally, we performed longitudinal analysis to measure the proportion of change in deprivation level and rural/urban residence 10 years after an incident diagnosis of SMI and compared it to the general population using standardised rate ratios (SRRs). Prevalence and incidence of SMIs were significantly associated with deprivation and urbanicity (all ORs and IRRs significantly >1). ORs and IRRs were similar across all conditions and cohorts (ranging from 1.1 to 1.4). Results from the longitudinal analysis showed individuals with SMIs are more likely to move compared to the general population. However, they did not preferentially move to more deprived or urban areas. There was little evidence of downward social drift over a 10-year period. These findings have implications for the allocation of resources, service configuration and access to services in deprived communities, as well as, for broader public health interventions addressing poverty, and social and environmental contexts.",doi:https://doi.org/10.1016/j.schres.2020.03.044
32334655,https://doi.org/10.1016/s0140-6736(20)30608-5,"Health sector spending and spending on HIV/AIDS, tuberculosis, and malaria, and development assistance for health: progress towards Sustainable Development Goal 3","Health sector spending and spending on HIV/AIDS, tuberculosis, and malaria, and development assistance for health: progress towards Sustainable Development Goal 3.",Global Burden of Disease Health Financing Collaborator Network.,,"Lancet (London, England)",2020,Y,,Better Care,infection,"Background:Sustainable Development Goal (SDG) 3 aims to ""ensure healthy lives and promote well-being for all at all ages"". While a substantial effort has been made to quantify progress towards SDG3, less research has focused on tracking spending towards this goal. We used spending estimates to measure progress in financing the priority areas of SDG3, examine the association between outcomes and financing, and identify where resource gains are most needed to achieve the SDG3 indicators for which data are available. Methods:We estimated domestic health spending, disaggregated by source (government, out-of-pocket, and prepaid private) from 1995 to 2017 for 195 countries and territories. For disease-specific health spending, we estimated spending for HIV/AIDS and tuberculosis for 135 low-income and middle-income countries, and malaria in 106 malaria-endemic countries, from 2000 to 2017. We also estimated development assistance for health (DAH) from 1990 to 2019, by source, disbursing development agency, recipient, and health focus area, including DAH for pandemic preparedness. Finally, we estimated future health spending for 195 countries and territories from 2018 until 2030. We report all spending estimates in inflation-adjusted 2019 US$, unless otherwise stated. Findings:Since the development and implementation of the SDGs in 2015, global health spending has increased, reaching $7·9 trillion (95% uncertainty interval 7·8-8·0) in 2017 and is expected to increase to $11·0 trillion (10·7-11·2) by 2030. In 2017, in low-income and middle-income countries spending on HIV/AIDS was $20·2 billion (17·0-25·0) and on tuberculosis it was $10·9 billion (10·3-11·8), and in malaria-endemic countries spending on malaria was $5·1 billion (4·9-5·4). Development assistance for health was $40·6 billion in 2019 and HIV/AIDS has been the health focus area to receive the highest contribution since 2004. In 2019, $374 million of DAH was provided for pandemic preparedness, less than 1% of DAH. Although spending has increased across HIV/AIDS, tuberculosis, and malaria since 2015, spending has not increased in all countries, and outcomes in terms of prevalence, incidence, and per-capita spending have been mixed. The proportion of health spending from pooled sources is expected to increase from 81·6% (81·6-81·7) in 2015 to 83·1% (82·8-83·3) in 2030. Interpretation:Health spending on SDG3 priority areas has increased, but not in all countries, and progress towards meeting the SDG3 targets has been mixed and has varied by country and by target. The evidence on the scale-up of spending and improvements in health outcomes suggest a nuanced relationship, such that increases in spending do not always results in improvements in outcomes. Although countries will probably need more resources to achieve SDG3, other constraints in the broader health system such as inefficient allocation of resources across interventions and populations, weak governance systems, human resource shortages, and drug shortages, will also need to be addressed. Funding:The Bill & Melinda Gates Foundation.",doi:https://doi.org/10.1016/S0140-6736(20)30608-5; html:https://europepmc.org/articles/PMC7180045
32238333,https://doi.org/10.2196/16400,Low-Density Lipoprotein Cholesterol Target Attainment in Patients With Established Cardiovascular Disease: Analysis of Routine Care Data,Low-Density Lipoprotein Cholesterol Target Attainment in Patients With Established Cardiovascular Disease: Analysis of Routine Care Data.,"Groenhof TKJ, Kofink D, Bots ML, Nathoe HM, Hoefer IE, Van Solinge WW, Lely AT, Asselbergs FW, Haitjema S.",,JMIR medical informatics,2020,Y,LDL-C; Cardiovascular Risk Management; Learning Health Care System; Routine Clinical Data,Better Care,cardiovascular,"BACKGROUND:Direct feedback on quality of care is one of the key features of a learning health care system (LHS), enabling health care professionals to improve upon the routine clinical care of their patients during practice. OBJECTIVE:This study aimed to evaluate the potential of routine care data extracted from electronic health records (EHRs) in order to obtain reliable information on low-density lipoprotein cholesterol (LDL-c) management in cardiovascular disease (CVD) patients referred to a tertiary care center. METHODS:We extracted all LDL-c measurements from the EHRs of patients with a history of CVD referred to the University Medical Center Utrecht. We assessed LDL-c target attainment at the time of referral and per year. In patients with multiple measurements, we analyzed LDL-c trajectories, truncated at 6 follow-up measurements. Lastly, we performed a logistic regression analysis to investigate factors associated with improvement of LDL-c at the next measurement. RESULTS:Between February 2003 and December 2017, 250,749 LDL-c measurements were taken from 95,795 patients, of whom 23,932 had a history of CVD. At the time of referral, 51% of patients had not reached their LDL-c target. A large proportion of patients (55%) had no follow-up LDL-c measurements. Most of the patients with repeated measurements showed no change in LDL-c levels over time: the transition probability to remain in the same category was up to 0.84. Sequence clustering analysis showed more women (odds ratio 1.18, 95% CI 1.07-1.10) in the cluster with both most measurements off target and the most LDL-c measurements furthest from the target. Timing of drug prescription was difficult to determine from our data, limiting the interpretation of results regarding medication management. CONCLUSIONS:Routine care data can be used to provide feedback on quality of care, such as LDL-c target attainment. These routine care data show high off-target prevalence and little change in LDL-c over time. Registrations of diagnosis; follow-up trajectory, including primary and secondary care; and medication use need to be improved in order to enhance usability of the EHR system for adequate feedback.",doi:https://doi.org/10.2196/16400; html:https://europepmc.org/articles/PMC7163416
32234121,https://doi.org/10.2807/1560-7917.es.2020.25.12.2000256,"Estimating the infection and case fatality ratio for coronavirus disease (COVID-19) using age-adjusted data from the outbreak on the Diamond Princess cruise ship, February 2020","Estimating the infection and case fatality ratio for coronavirus disease (COVID-19) using age-adjusted data from the outbreak on the Diamond Princess cruise ship, February 2020.","Russell TW, Hellewell J, Jarvis CI, van Zandvoort K, Abbott S, Ratnayake R, Cmmid Covid-Working Group, Flasche S, Eggo RM, Edmunds WJ, Kucharski AJ.",,Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin,2020,Y,Coronavirus; outbreak; Severity; Asymptomatic; Case Fatality Ratio; Cruise Ship; Covid-19; Infection Fatality Ratio,"COVID-19, Improving Public Health","COVID-19, infection","Adjusting for delay from confirmation to death, we estimated case and infection fatality ratios (CFR, IFR) for coronavirus disease (COVID-19) on the Diamond Princess ship as 2.6% (95% confidence interval (CI): 0.89-6.7) and 1.3% (95% CI: 0.38-3.6), respectively. Comparing deaths on board with expected deaths based on naive CFR estimates from China, we estimated CFR and IFR in China to be 1.2% (95% CI: 0.3-2.7) and 0.6% (95% CI: 0.2-1.3), respectively.",doi:https://doi.org/10.2807/1560-7917.ES.2020.25.12.2000256; html:https://europepmc.org/articles/PMC7118348; pdf:https://europepmc.org/articles/PMC7118348?pdf=render
32207686,https://doi.org/10.7554/elife.54363,Characterising a healthy adult with a rare HAO1 knockout to support a therapeutic strategy for primary hyperoxaluria,Characterising a healthy adult with a rare HAO1 knockout to support a therapeutic strategy for primary hyperoxaluria.,"McGregor TL, Hunt KA, Yee E, Mason D, Nioi P, Ticau S, Pelosi M, Loken PR, Finer S, Lawlor DA, Fauman EB, Huang QQ, Griffiths CJ, MacArthur DG, Trembath RC, Oglesbee D, Lieske JC, Erbe DV, Wright J, van Heel DA.",,eLife,2020,Y,Human; Genetics; Glycolate; Genomics; Hyperoxaluria; Knockouts; Rnai Theraputic,Understanding the Causes of Disease,metabolic and endocrine,"By sequencing autozygous human populations, we identified a healthy adult woman with lifelong complete knockout of HAO1 (expected ~1 in 30 million outbred people). HAO1 (glycolate oxidase) silencing is the mechanism of lumasiran, an investigational RNA interference therapeutic for primary hyperoxaluria type 1. Her plasma glycolate levels were 12 times, and urinary glycolate 6 times, the upper limit of normal observed in healthy reference individuals (n = 67). Plasma metabolomics and lipidomics (1871 biochemicals) revealed 18 markedly elevated biochemicals (>5 sd outliers versus n = 25 controls) suggesting additional HAO1 effects. Comparison with lumasiran preclinical and clinical trial data suggested she has <2% residual glycolate oxidase activity. Cell line p.Leu333SerfsTer4 expression showed markedly reduced HAO1 protein levels and cellular protein mis-localisation. In this woman, lifelong HAO1 knockout is safe and without clinical phenotype, de-risking a therapeutic approach and informing therapeutic mechanisms. Unlocking evidence from the diversity of human genetic variation can facilitate drug development.",doi:https://doi.org/10.7554/eLife.54363; html:https://europepmc.org/articles/PMC7108859; pdf:https://europepmc.org/articles/PMC7108859?pdf=render
32238345,https://doi.org/10.1136/bmj.m1312,"Machine learning and artificial intelligence research for patient benefit: 20 critical questions on transparency, replicability, ethics, and effectiveness.","Machine learning and artificial intelligence research for patient benefit: 20 critical questions on transparency, replicability, ethics, and effectiveness. ",,,BMJ (Clinical research ed.),2020,N,,Applied Analytics,disease-agnostic,,doi:https://doi.org/10.1136/bmj.m1312
32247823,https://doi.org/10.1016/j.jhep.2020.03.032,Genome-wide and Mendelian randomisation studies of liver MRI yield insights into the pathogenesis of steatohepatitis,Genome-wide and Mendelian randomisation studies of liver MRI yield insights into the pathogenesis of steatohepatitis.,"Parisinos CA, Wilman HR, Thomas EL, Kelly M, Nicholls RC, McGonigle J, Neubauer S, Hingorani AD, Patel RS, Hemingway H, Bell JD, Banerjee R, Yaghootkar H.",,Journal of hepatology,2020,Y,metabolic syndrome; Magnetic Resonance Imaging; fibrosis; Transaminases; Genome-wide Association Study; Steatohepatitis; Ct1,Understanding the Causes of Disease,oral and gastrointestinal,"BACKGROUND & AIMS:MRI-based corrected T1 (cT1) is a non-invasive method to grade the severity of steatohepatitis and liver fibrosis. We aimed to identify genetic variants influencing liver cT1 and use genetics to understand mechanisms underlying liver fibroinflammatory disease and its link with other metabolic traits and diseases. METHODS:First, we performed a genome-wide association study (GWAS) in 14,440 Europeans, with liver cT1 measures, from the UK Biobank. Second, we explored the effects of the cT1 variants on liver blood tests, and a range of metabolic traits and diseases. Third, we used Mendelian randomisation to test the causal effects of 24 predominantly metabolic traits on liver cT1 measures. RESULTS:We identified 6 independent genetic variants associated with liver cT1 that reached the GWAS significance threshold (p <5×10-8). Four of the variants (rs759359281 in SLC30A10, rs13107325 in SLC39A8, rs58542926 in TM6SF2, rs738409 in PNPLA3) were also associated with elevated aminotransferases and had variable effects on liver fat and other metabolic traits. Insulin resistance, type 2 diabetes, non-alcoholic fatty liver and body mass index were causally associated with elevated cT1, whilst favourable adiposity (instrumented by variants associated with higher adiposity but lower risk of cardiometabolic disease and lower liver fat) was found to be protective. CONCLUSION:The association between 2 metal ion transporters and cT1 indicates an important new mechanism in steatohepatitis. Future studies are needed to determine whether interventions targeting the identified transporters might prevent liver disease in at-risk individuals. LAY SUMMARY:We estimated levels of liver inflammation and scarring based on magnetic resonance imaging of 14,440 UK Biobank participants. We performed a genetic study and identified variations in 6 genes associated with levels of liver inflammation and scarring. Participants with variations in 4 of these genes also had higher levels of markers of liver cell injury in blood samples, further validating their role in liver health. Two identified genes are involved in the transport of metal ions in our body. Further investigation of these variations may lead to better detection, assessment, and/or treatment of liver inflammation and scarring.",doi:https://doi.org/10.1016/j.jhep.2020.03.032; html:https://europepmc.org/articles/PMC7372222; pdf:https://europepmc.org/articles/PMC7372222?pdf=render
32150548,https://doi.org/10.1371/journal.pgen.1008605,The influence of rare variants in circulating metabolic biomarkers,The influence of rare variants in circulating metabolic biomarkers.,"Riveros-Mckay F, Oliver-Williams C, Karthikeyan S, Walter K, Kundu K, Ouwehand WH, Roberts D, Di Angelantonio E, Soranzo N, Danesh J, INTERVAL Study, Wheeler E, Zeggini E, Butterworth AS, Barroso I.",,PLoS genetics,2020,Y,,Understanding the Causes of Disease,cardiovascular,"Circulating metabolite levels are biomarkers for cardiovascular disease (CVD). Here we studied, association of rare variants and 226 serum lipoproteins, lipids and amino acids in 7,142 (discovery plus follow-up) healthy participants. We leveraged the information from multiple metabolite measurements on the same participants to improve discovery in rare variant association analyses for gene-based and gene-set tests by incorporating correlated metabolites as covariates in the validation stage. Gene-based analysis corrected for the effective number of tests performed, confirmed established associations at APOB, APOC3, PAH, HAL and PCSK (p<1.32x10-7) and identified novel gene-trait associations at a lower stringency threshold with ACSL1, MYCN, FBXO36 and B4GALNT3 (p<2.5x10-6). Regulation of the pyruvate dehydrogenase (PDH) complex was associated for the first time, in gene-set analyses also corrected for effective number of tests, with IDL and LDL parameters, as well as circulating cholesterol (pMETASKAT<2.41x10-6). In conclusion, using an approach that leverages metabolite measurements obtained in the same participants, we identified novel loci and pathways involved in the regulation of these important metabolic biomarkers. As large-scale biobanks continue to amass sequencing and phenotypic information, analytical approaches such as ours will be useful to fully exploit the copious amounts of biological data generated in these efforts.",doi:https://doi.org/10.1371/journal.pgen.1008605; html:https://europepmc.org/articles/PMC7108731; pdf:https://europepmc.org/articles/PMC7108731?pdf=render
32182948,https://doi.org/10.3390/cells9030665,"Dysregulated Antibody, Natural Killer Cell and Immune Mediator Profiles in Autoimmune Thyroid Diseases.","Dysregulated Antibody, Natural Killer Cell and Immune Mediator Profiles in Autoimmune Thyroid Diseases.","Martin TC, Ilieva KM, Visconti A, Beaumont M, Kiddle SJ, Dobson RJB, Mangino M, Lim EM, Pezer M, Steves CJ, Bell JT, Wilson SG, Lauc G, Roederer M, Walsh JP, Spector TD, Karagiannis SN.",,Cells,2020,Y,Apoptosis; Genetic Variants; Antibody-dependent Cell-mediated Cytotoxicity (Adcc); Multi-omic; Autoimmune Thyroid Diseases (Aitd); Anti-thyroid Peroxidase Antibody (Tpoab),Understanding the Causes of Disease,inflammatory and immune system,"The pathogenesis of autoimmune thyroid diseases (AITD) is poorly understood and the association between different immune features and the germline variants involved in AITD are yet unclear. We previously observed systemic depletion of IgG core fucosylation and antennary α1,2 fucosylation in peripheral blood mononuclear cells in AITD, correlated with anti-thyroid peroxidase antibody (TPOAb) levels. Fucose depletion is known to potentiate strong antibody-mediated NK cell activation and enhanced target antigen-expressing cell killing. In autoimmunity, this may translate to autoantibody-mediated immune cell recruitment and attack of self-antigen expressing normal tissues. Hence, we investigated the crosstalk between immune cell traits, secreted proteins, genetic variants and the glycosylation patterns of serum IgG, in a multi-omic and cross-sectional study of 622 individuals from the TwinsUK cohort, 172 of whom were diagnosed with AITD. We observed associations between two genetic variants (rs505922 and rs687621), AITD status, the secretion of Desmoglein-2 protein, and the profile of two IgG N-glycan traits in AITD, but further studies need to be performed to better understand their crosstalk in AITD. On the other side, enhanced afucosylated IgG was positively associated with activatory CD335- CD314+ CD158b+ NK cell subsets. Increased levels of the apoptosis and inflammation markers Caspase-2 and Interleukin-1α positively associated with AITD. Two genetic variants associated with AITD, rs1521 and rs3094228, were also associated with altered expression of the thyrocyte-expressed ligands known to recognize the NK cell immunoreceptors CD314 and CD158b. Our analyses reveal a combination of heightened Fc-active IgG antibodies, effector cells, cytokines and apoptotic signals in AITD, and AITD genetic variants associated with altered expression of thyrocyte-expressed ligands to NK cell immunoreceptors. Together, TPOAb responses, dysregulated immune features, germline variants associated with immunoactivity profiles, are consistent with a positive autoreactive antibody-dependent NK cell-mediated immune response likely drawn to the thyroid gland in AITD.",doi:https://doi.org/10.3390/cells9030665; html:https://europepmc.org/articles/PMC7140647; pdf:https://europepmc.org/articles/PMC7140647?pdf=render
32127008,https://doi.org/10.1186/s13059-020-01969-6,Accurate targeted long-read DNA methylation and hydroxymethylation sequencing with TAPS,Accurate targeted long-read DNA methylation and hydroxymethylation sequencing with TAPS.,"Liu Y, Cheng J, Siejka-Zielińska P, Weldon C, Roberts H, Lopopolo M, Magri A, D'Arienzo V, Harris JM, McKeating JA, Song CX.",,Genome biology,2020,Y,DNA methylation; 5-methylcytosine; Long-read Sequencing; Bisulfite-free; Epigenetic Phasing,Understanding the Causes of Disease,infection,"We present long-read Tet-assisted pyridine borane sequencing (lrTAPS) for targeted base-resolution sequencing of DNA methylation and hydroxymethylation in regions up to 10 kb from nanogram-level input. Compatible with both Oxford Nanopore and PacBio Single-Molecule Real-Time (SMRT) sequencing, lrTAPS detects methylation with accuracy comparable to short-read Illumina sequencing but with long-range epigenetic phasing. We applied lrTAPS to sequence difficult-to-map regions in mouse embryonic stem cells and to identify distinct methylation events in the integrated hepatitis B virus genome.",doi:https://doi.org/10.1186/s13059-020-01969-6; html:https://europepmc.org/articles/PMC7053107; pdf:https://europepmc.org/articles/PMC7053107?pdf=render
